time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XTZ,open XTZ
7/26/2020 21:00,-0.08064671,424,-34.19420504,363989.22,2.986333333
7/27/2020 0:00,-0.069814815,284,-19.82740746,1102225.51,2.9532
7/27/2020 3:00,-0.036190476,136,-4.921904736,1273537.72,2.884133333
7/27/2020 6:00,-0.049808429,115,-5.727969335,317093.74,2.868433333
7/27/2020 9:00,-0.093655303,164,-15.35946969,189460.91,2.912733333
7/27/2020 12:00,0.007294453,361,2.633297533,1650548.44,2.887266667
7/27/2020 15:00,-0.066957672,460,-30.80052912,1519790.25,2.722033333
7/27/2020 18:00,-0.039153439,337,-13.19470894,783214.15,2.8616
7/27/2020 21:00,-0.07334356,766,-56.18116696,1281404.14,2.825133333
7/28/2020 0:00,-0.003258845,283,-0.922253135,627854.35,2.8412
7/28/2020 3:00,-0.030311891,147,-4.455847977,300281.73,2.8403
7/28/2020 6:00,-0.031609195,87,-2.749999965,851733.62,2.864766667
7/28/2020 9:00,-0.087349398,157,-13.71385549,520216.48,2.821866667
7/28/2020 12:00,0.016666667,360,6.00000012,347410.2,2.827233333
7/28/2020 15:00,-0.014711359,341,-5.016573419,722680.83,2.868033333
7/28/2020 18:00,-0.006534392,388,-2.535344096,334824.58,2.853366667
7/28/2020 21:00,-0.076625725,1163,-89.11571818,268799.03,2.862133333
7/29/2020 0:00,-0.016666667,237,-3.950000079,656965.36,2.865533333
7/29/2020 3:00,0.059659091,138,8.232954558,246079.71,2.917
7/29/2020 6:00,0.064065511,100,6.4065511,143123.65,2.877133333
7/29/2020 9:00,-0.012146893,128,-1.554802304,132690.2,2.883566667
7/29/2020 12:00,0.013810861,317,4.378042937,406733.88,2.8663
7/29/2020 15:00,0.062197393,273,16.97988829,298702.52,2.834966667
7/29/2020 18:00,-0.055214153,354,-19.54581016,184998.39,2.820533333
7/29/2020 21:00,0.044025648,393,17.30207966,486467.04,2.8127
7/30/2020 0:00,-0.068435754,185,-12.66061449,467538.76,2.775233333
7/30/2020 3:00,-0.086911488,152,-13.21054618,337466.16,2.758166667
7/30/2020 6:00,0.000986193,63,0.062130159,174041.66,2.779533333
7/30/2020 9:00,-0.083838384,109,-9.138383856,160308.53,2.839566667
7/30/2020 12:00,0.068435754,343,23.47346362,217912.6,2.803366667
7/30/2020 15:00,0.010672847,299,3.191181253,229725.49,2.7972
7/30/2020 18:00,-0.03264166,322,-10.51061452,386744.29,2.839
7/30/2020 21:00,0.015320038,407,6.235255466,200635.88,2.8135
7/31/2020 0:00,0.006942215,290,2.01324235,314238.44,2.8017
7/31/2020 3:00,0.057142857,127,7.257142839,310315.95,2.840766667
7/31/2020 6:00,-0.010505051,74,-0.777373774,337269.4,2.868033333
7/31/2020 9:00,-0.057321773,122,-6.993256306,218536.95,2.8688
7/31/2020 12:00,-0.061891386,323,-19.99091768,234267.14,2.868433333
7/31/2020 15:00,0.037115537,287,10.65215912,249706.52,2.849066667
7/31/2020 18:00,0.009884259,338,3.340879542,157195.29,2.848766667
7/31/2020 21:00,0.041517161,417,17.31265614,192519.72,2.8432
8/1/2020 0:00,-0.033985102,181,-6.151303462,254591.55,2.848
8/1/2020 3:00,0.041425819,159,6.586705221,291319.03,2.882933333
8/1/2020 6:00,-0.053030303,99,-5.249999997,337954.52,2.910633333
8/1/2020 9:00,-0.053787879,177,-9.520454583,226210.55,2.910233333
8/1/2020 12:00,-0.007771536,300,-2.3314608,201793.84,2.8868
