time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
2/5/2019 9:00,-0.23465074,4076,-956.4364162,1810.63428,106.3
2/5/2019 12:00,-0.20515938,4943,-1014.102815,7371.970807,106.21
2/5/2019 15:00,-0.1551713,5414,-840.0974182,7529.586606,105.6866667
2/5/2019 18:00,-0.135845097,5027,-682.8933026,5727.04099,105.57
2/5/2019 21:00,-0.121856351,4856,-591.7344405,5244.869363,106.0133333
2/6/2019 0:00,-0.109706144,3872,-424.7821896,44565.66418,104.39
2/6/2019 3:00,-0.174834455,3272,-572.0583368,6905.18344,101.92
2/6/2019 6:00,-0.162101972,3903,-632.6839967,3632.609347,102.0033333
2/6/2019 9:00,-0.176573186,4331,-764.7384686,2049.654422,101.7766667
2/6/2019 12:00,-0.194464257,5902,-1147.728045,7149.955668,101.66
2/6/2019 15:00,-0.181163651,6032,-1092.779143,25810.34699,102.3533333
2/6/2019 18:00,-0.194013887,5089,-987.3366709,8676.424475,102.7233333
2/6/2019 21:00,-0.171676039,4443,-762.7566413,7726.957549,103.3533333
2/7/2019 0:00,-0.240147725,3527,-847.0010261,6359.00563,103.6133333
2/7/2019 3:00,-0.141833793,2886,-409.3323266,12136.52155,103.8866667
2/7/2019 6:00,-0.204187099,3744,-764.4764987,5638.154206,103.7866667
2/7/2019 9:00,-0.187220783,3872,-724.9188718,4013.774528,104.34
2/7/2019 12:00,-0.201017316,4692,-943.1732467,3326.249534,103.6266667
2/7/2019 15:00,-0.092006393,5726,-526.8286063,5213.074259,103.3433333
2/7/2019 18:00,-0.18718304,4957,-927.8663293,6123.217467,103.0433333
2/7/2019 21:00,-0.140842921,4106,-578.3010336,5105.941716,103.3166667
2/8/2019 0:00,-0.195548907,3398,-664.475186,7192.034108,103.15
2/8/2019 3:00,-0.165395144,3150,-520.9947036,9013.014558,103.1366667
2/8/2019 6:00,-0.135605661,3701,-501.8765514,13650.22647,103.62
2/8/2019 9:00,-0.117216231,4128,-483.8686016,32132.23384,105.9166667
2/8/2019 12:00,-0.166061513,5065,-841.1015633,17275.5742,107.24
2/8/2019 15:00,-0.131589476,7128,-937.9697849,107923.7574,112.2266667
2/8/2019 18:00,-0.151492588,5933,-898.8055246,23701.07939,118.2466667
2/8/2019 21:00,-0.164861815,4270,-703.9599501,21614.36267,117.27
2/9/2019 0:00,-0.131226756,3394,-445.3836099,13413.59684,117.7066667
2/9/2019 3:00,-0.181233234,2711,-491.3232974,7350.677904,117.3333333
2/9/2019 6:00,-0.15296156,3245,-496.3602622,9402.860894,117.3733333
2/9/2019 9:00,-0.156969104,3161,-496.1793377,6433.149768,117.9733333
2/9/2019 12:00,-0.182725308,3655,-667.8610007,8833.330999,118.23
2/9/2019 15:00,-0.185039187,4072,-753.4795695,10235.08377,117.9466667
2/9/2019 18:00,-0.153056837,3899,-596.7686075,3318.843629,117.3366667
2/9/2019 21:00,-0.149975671,3572,-535.7130968,8754.308228,117.9266667
2/10/2019 0:00,-0.21876944,2819,-616.7110514,5045.180581,117.8666667
2/10/2019 3:00,-0.124854642,2417,-301.7736697,3917.77772,117.97
2/10/2019 6:00,-0.066389747,2739,-181.841517,12665.18356,116.8233333
2/10/2019 9:00,-0.183551844,2733,-501.6471897,3385.844589,116.32
2/10/2019 12:00,-0.167763233,3424,-574.4213098,5906.727873,116.1266667
2/10/2019 15:00,-0.11707525,3977,-465.6082693,7564.528585,116.3133333
