time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
9/19/2020 21:00,-0.072026599,7262,-523.0571619,282699.2,10.13303333
9/20/2020 0:00,-0.065089169,6536,-425.4228086,657081,10.22693333
9/20/2020 3:00,-0.03739733,5834,-218.1760232,188848.78,10.42213333
9/20/2020 6:00,-0.1194774,6665,-796.316871,117933.1,10.4039
9/20/2020 9:00,-0.09869398,6096,-601.6385021,192293.9,10.32984333
9/20/2020 12:00,-0.060784251,9204,-559.4582462,373075.94,10.18559333
9/20/2020 15:00,-0.074104907,9418,-697.9200141,496237.5,9.969046667
9/20/2020 18:00,-0.022693258,8789,-199.4510446,489530.63,9.942473333
9/20/2020 21:00,-0.08057476,7969,-642.1002624,563129.81,9.751893333
9/21/2020 0:00,-0.051169068,6913,-353.7317671,356153.05,9.762496667
9/21/2020 3:00,-0.046092748,6271,-289.0476227,266913.49,9.72277
9/21/2020 6:00,-0.064239011,7453,-478.773349,350875.09,9.702623333
9/21/2020 9:00,-0.116527778,9446,-1100.721391,1356015.17,9.045213333
9/21/2020 12:00,-0.040542921,12038,-488.055683,1285768.44,8.920773333
9/21/2020 15:00,-0.081147739,12600,-1022.461511,1935360.64,8.698176667
9/21/2020 18:00,-0.078554998,10402,-817.1290892,828766.43,8.732123333
9/21/2020 21:00,-0.067622502,8339,-563.9040442,626812.52,8.922506667
9/22/2020 0:00,-0.074751438,7137,-533.501013,408079.47,8.807016667
9/22/2020 3:00,-0.039567321,6376,-252.2812387,300320.47,8.903293333
9/22/2020 6:00,-0.038825502,7088,-275.1951582,239583.22,8.886026667
9/22/2020 9:00,-0.032453646,7305,-237.073884,201384.55,8.852626667
9/22/2020 12:00,-0.049522975,10439,-516.970336,355800.37,8.822136667
9/22/2020 15:00,-0.035245357,11501,-405.3568509,412951.9,8.816773333
9/22/2020 18:00,-0.035451132,10401,-368.7272239,419634.46,8.811606667
9/22/2020 21:00,-0.045730211,8861,-405.2153997,295437.74,8.724166667
9/23/2020 0:00,-0.054175674,7141,-386.868488,193298.44,8.745626667
9/23/2020 3:00,-0.078793338,6383,-502.9378765,555101.21,8.60052
9/23/2020 6:00,-0.042891412,7432,-318.768974,819396.32,8.158116667
9/23/2020 9:00,-0.087549586,7513,-657.7600396,387003.41,8.143386667
9/23/2020 12:00,-0.018113099,10282,-186.2388839,605018.32,8.297776667
9/23/2020 15:00,-0.057691851,10144,-585.2261365,410002.79,8.240506667
9/23/2020 18:00,-0.051637779,10331,-533.4698948,2251637.94,8.039283333
9/23/2020 21:00,-0.049340528,8079,-398.6221257,1121280.62,7.895833333
9/24/2020 0:00,-0.039301508,7217,-283.6389832,1256423.76,7.815226667
9/24/2020 3:00,-0.078651444,5834,-458.8525243,309372.36,8.1783
9/24/2020 6:00,-0.045750434,6923,-316.7302546,252712.08,8.299653333
9/24/2020 9:00,-0.050166985,7357,-369.0785086,380747.07,8.45101
9/24/2020 12:00,-0.056677645,9950,-563.9425678,786465.52,8.71321
9/24/2020 15:00,0.006310087,12130,76.54135531,1605295.79,9.15668
