time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XLM,open XLM
4/9/2019 18:00,-0.131078089,4929,-646.0839007,1222760,0.126162333
4/9/2019 21:00,-0.10676509,4050,-432.3986145,1881853,0.125658667
4/10/2019 0:00,-0.085935393,3535,-303.7816143,1085996,0.125805
4/10/2019 3:00,-0.145444581,3220,-468.3315508,896765,0.12611
4/10/2019 6:00,-0.08385086,4274,-358.3785756,1566292,0.127296333
4/10/2019 9:00,-0.107755087,4115,-443.412183,413111,0.126677333
4/10/2019 12:00,-0.167580085,5367,-899.4023162,815916,0.126926667
4/10/2019 15:00,-0.155364216,5500,-854.503188,1271406,0.126712
4/10/2019 18:00,-0.093027692,6321,-588.0280411,3049863,0.128053333
4/10/2019 21:00,-0.132240245,4365,-577.2286694,1298949,0.125694
4/11/2019 0:00,-0.139387412,3843,-535.6658243,1796292,0.125556667
4/11/2019 3:00,-0.098109181,3368,-330.4317216,2781658,0.120162333
4/11/2019 6:00,-0.163236131,3915,-639.0694529,846112,0.119
4/11/2019 9:00,-0.155402647,4750,-738.1625733,2515162,0.116385
4/11/2019 12:00,-0.157749777,5556,-876.457761,2249197,0.11385
4/11/2019 15:00,-0.167795743,5668,-951.0662713,1724104,0.115359333
4/11/2019 18:00,-0.150033607,4603,-690.604693,1703173,0.116707667
4/11/2019 21:00,-0.141775137,3885,-550.7964072,1106194,0.115356333
4/12/2019 0:00,-0.141399763,3517,-497.3029665,3700077,0.113539
4/12/2019 3:00,-0.163443655,3096,-506.0215559,1232397,0.112728
4/12/2019 6:00,-0.193289218,4198,-811.4281372,328469,0.112582667
4/12/2019 9:00,-0.176384287,4123,-727.2324153,1357322,0.113438333
4/12/2019 12:00,-0.16236197,5470,-888.1199759,1756440,0.115879333
4/12/2019 15:00,-0.178165983,5388,-959.9583164,1354551,0.115692333
4/12/2019 18:00,-0.196884687,4770,-939.139957,2952885,0.115037333
4/12/2019 21:00,-0.175656692,3700,-649.9297604,1042479,0.113711
4/13/2019 0:00,-0.135364399,3144,-425.5856705,854625,0.114244
4/13/2019 3:00,-0.170391059,2782,-474.0279261,1401122,0.116229
4/13/2019 6:00,-0.18353354,3200,-587.307328,790985,0.116306333
4/13/2019 9:00,-0.170974073,3189,-545.2363188,398225,0.114547333
4/13/2019 12:00,-0.121403945,3980,-483.1877011,675452,0.114385667
4/13/2019 15:00,-0.177641577,4053,-719.9813116,1140016,0.114762333
4/13/2019 18:00,-0.097253656,3731,-362.8533905,762851,0.115310333
4/13/2019 21:00,-0.143739969,3204,-460.5428607,758192,0.115392
4/14/2019 0:00,-0.139900766,2905,-406.4117252,775737,0.115826667
4/14/2019 3:00,-0.161685619,2385,-385.6202013,965693,0.114987667
4/14/2019 6:00,-0.166400171,2878,-478.8996921,357452,0.114534667
4/14/2019 9:00,-0.174858803,3045,-532.4450551,301614,0.115240333
4/14/2019 12:00,-0.134206217,3902,-523.6726587,662157,0.11548
4/14/2019 15:00,-0.1470252,4534,-666.6122568,820124,0.116476333
4/14/2019 18:00,-0.119329384,4067,-485.3126047,1296548,0.117532333
4/14/2019 21:00,-0.116727588,3758,-438.6622757,1261105,0.117802667
4/15/2019 0:00,-0.134444372,2964,-398.4931186,1678323,0.118707667
4/15/2019 3:00,-0.163085714,3066,-500.0207991,991132,0.119298333
4/15/2019 6:00,-0.151050183,3981,-601.3307785,673157,0.118813333
4/15/2019 9:00,-0.140726764,4275,-601.6069161,424566,0.117757
4/15/2019 12:00,-0.137623815,5520,-759.6834588,656711,0.117162
4/15/2019 15:00,-0.137577794,6634,-912.6910854,3312618,0.116495667
4/15/2019 18:00,-0.179077157,5673,-1015.904712,3442521,0.112689
4/15/2019 21:00,-0.181608574,4575,-830.8592261,966680,0.111880667
4/16/2019 0:00,-0.175181898,3634,-636.6110173,1074063,0.112618333
4/16/2019 3:00,-0.16882167,3268,-551.7092176,661053,0.113080333
4/16/2019 6:00,-0.183241095,4422,-810.2921221,668994,0.112849667
4/16/2019 9:00,-0.151552798,4537,-687.5950445,475136,0.113108667
4/16/2019 12:00,-0.141670159,5475,-775.6441205,1440838,0.112378333
4/16/2019 15:00,-0.172489365,5786,-998.0234659,1028168,0.112870667
4/16/2019 18:00,-0.100718946,5211,-524.8464276,1715117,0.115492667
4/16/2019 21:00,-0.185536947,4297,-797.2522613,893700,0.114234667
4/17/2019 0:00,-0.130041387,3803,-494.5473948,1243416,0.115403667
4/17/2019 3:00,-0.150240191,3401,-510.9668896,1214004,0.115180333
4/17/2019 6:00,-0.124115482,4294,-532.9518797,629097,0.115390667
4/17/2019 9:00,-0.114782521,4257,-488.6291919,362131,0.115017333
4/17/2019 12:00,-0.122087866,5677,-693.0928153,892398,0.115570667
4/17/2019 15:00,-0.113491514,5645,-640.6595965,992410,0.115852667
4/17/2019 18:00,-0.087769964,5228,-458.8613718,706705,0.115552333
4/17/2019 21:00,-0.179951691,3910,-703.6111118,2389843,0.116454
4/18/2019 0:00,-0.112632118,3583,-403.5608788,3944961,0.117359333
4/18/2019 3:00,-0.177191567,3235,-573.2147192,2016634,0.119308
4/18/2019 6:00,-0.138306144,4076,-563.7358429,499047,0.118599
4/18/2019 9:00,-0.167292449,4001,-669.3370884,654968,0.117680667
4/18/2019 12:00,-0.095476928,5262,-502.3995951,2002419,0.116847333
4/18/2019 15:00,-0.125224885,5445,-681.8494988,1571170,0.11738
4/18/2019 18:00,-0.091087334,4902,-446.5101113,1341619,0.118201667
4/18/2019 21:00,-0.112996004,4034,-455.8258801,1052787,0.118323
4/19/2019 0:00,-0.087343547,3339,-291.6401034,1474715,0.116711667
4/19/2019 3:00,-0.03117151,3125,-97.41096875,549863,0.115368667
4/19/2019 6:00,-0.068969679,3877,-267.3954455,433034,0.115900333
4/19/2019 9:00,-0.132223426,4112,-543.7027277,659082,0.116167667
4/19/2019 12:00,-0.069475311,5223,-362.8695494,802263,0.115846
4/19/2019 15:00,-0.112880384,5366,-605.7161405,1826266,0.115546333
4/19/2019 18:00,-0.162171711,4662,-756.0445167,1047735,0.115587333
4/19/2019 21:00,-0.124321506,3720,-462.4760023,1479460,0.115711333
4/20/2019 0:00,-0.135979509,3230,-439.2138141,1900155,0.116112667
4/20/2019 3:00,-0.102945145,2655,-273.31936,1800976,0.117124667
4/20/2019 6:00,-0.118242037,3378,-399.421601,1306007,0.117162
4/20/2019 9:00,-0.139477014,3278,-457.2056519,197000,0.116374333
4/20/2019 12:00,-0.131608314,3964,-521.6953567,2138189,0.116128333
4/20/2019 15:00,-0.113698798,4184,-475.7157708,1473736,0.115848
4/20/2019 18:00,-0.148821716,4132,-614.9313305,924120,0.115234333
4/20/2019 21:00,-0.094951904,3740,-355.120121,590822,0.114745667
4/21/2019 0:00,-0.147308498,3250,-478.7526185,2008750,0.115321333
4/21/2019 3:00,-0.110100801,2762,-304.0984124,1451351,0.115290667
4/21/2019 6:00,-0.075567175,3338,-252.2432302,704693,0.114142333
4/21/2019 9:00,-0.071840373,3301,-237.1450713,1703506,0.110643667
4/21/2019 12:00,-0.151292543,4162,-629.679564,1208899,0.110957667
4/21/2019 15:00,-0.161490679,4203,-678.7453238,1308505,0.110422333
4/21/2019 18:00,-0.129951006,3752,-487.5761745,1137467,0.109891667
4/21/2019 21:00,-0.149329597,3700,-552.5195089,1008181,0.110853667
4/22/2019 0:00,-0.138939147,3324,-461.8337246,1535887,0.111248333
4/22/2019 3:00,-0.123228183,2907,-358.224328,874606,0.110572
4/22/2019 6:00,-0.155492501,3870,-601.7559789,378852,0.111937333
4/22/2019 9:00,-0.155073056,4093,-634.7140182,568554,0.113388667
4/22/2019 12:00,-0.115814669,5179,-599.8041708,1268771,0.114193667
4/22/2019 15:00,-0.115743748,5600,-648.1649888,1344862,0.113005667
4/22/2019 18:00,-0.102332993,4998,-511.460299,1325975,0.113689333
4/22/2019 21:00,-0.139648697,4133,-577.1680647,1096348,0.113234667
4/23/2019 0:00,-0.129669559,3849,-499.0981326,1171556,0.112766333
4/23/2019 3:00,-0.092129087,4088,-376.6237077,1547992,0.11298
4/23/2019 6:00,-0.12007376,4413,-529.8855029,599148,0.113174
4/23/2019 9:00,-0.112348688,4881,-548.3739461,549005,0.112712
4/23/2019 12:00,-0.129392706,6782,-877.5413321,1377921,0.111924
4/23/2019 15:00,-0.162559742,6474,-1052.41177,1434344,0.111075667
4/23/2019 18:00,-0.11932668,5598,-667.9907546,1908791,0.110606667
4/23/2019 21:00,-0.152328047,4540,-691.5693334,1497414,0.110271
4/24/2019 0:00,-0.148723247,4067,-604.8574455,2269858,0.10876
4/24/2019 3:00,-0.102295642,3631,-371.4354761,1240997,0.108288667
4/24/2019 6:00,-0.13783848,4903,-675.8220674,3680470,0.106123333
4/24/2019 9:00,-0.16455031,5258,-865.20553,1602944,0.102929
4/24/2019 12:00,-0.149290515,5718,-853.6431648,2576599,0.102306
4/24/2019 15:00,-0.130762408,6076,-794.512391,3271363,0.101558667
4/24/2019 18:00,-0.109942029,5429,-596.8752754,3385599,0.100853333
4/24/2019 21:00,-0.184789605,4256,-786.4645589,1460663,0.102848667
4/25/2019 0:00,-0.099340559,3852,-382.6598333,2095817,0.103412667
4/25/2019 3:00,-0.14063849,3414,-480.1398049,980404,0.103456
4/25/2019 6:00,-0.15464081,3936,-608.6662282,547457,0.103188333
4/25/2019 9:00,-0.091776536,4566,-419.0516634,803966,0.103457
4/25/2019 12:00,-0.146037885,5766,-842.0544449,1394103,0.105105333
4/25/2019 15:00,-0.126133419,5656,-713.4106179,1082051,0.105222667
4/25/2019 18:00,-0.14402351,4871,-701.5385172,1379333,0.105176
4/25/2019 21:00,-0.191890308,5930,-1137.909526,6519549,0.101810667
4/26/2019 0:00,-0.175273574,4218,-739.3039351,4847388,0.097005333
4/26/2019 3:00,-0.213262401,3441,-733.8359218,2886520,0.096933333
4/26/2019 6:00,-0.202244891,4161,-841.5409915,1028883,0.096168667
4/26/2019 9:00,-0.246941569,4421,-1091.728677,843242,0.097818333
4/26/2019 12:00,-0.211287963,5145,-1087.07657,1447789,0.097615
4/26/2019 15:00,-0.190335532,5267,-1002.497247,2064409,0.096608333
4/26/2019 18:00,-0.181792497,4524,-822.4292564,1350285,0.096411333
4/26/2019 21:00,-0.203841592,3792,-772.9673169,1544317,0.096463333
4/27/2019 0:00,-0.101679658,2876,-292.4306964,1632234,0.097179
4/27/2019 3:00,-0.150846175,2727,-411.3575192,1316295,0.097624
4/27/2019 6:00,-0.150627785,3131,-471.6155948,359104,0.097925333
4/27/2019 9:00,-0.118117112,3122,-368.7616237,475819,0.097112667
4/27/2019 12:00,-0.131380575,3838,-504.2386469,1599397,0.097123333
4/27/2019 15:00,-0.128947101,4302,-554.7304285,1309263,0.097296667
4/27/2019 18:00,-0.180013176,3653,-657.5881319,1694620,0.098805333
4/27/2019 21:00,-0.163837968,3291,-539.1907527,1344444,0.099023
4/28/2019 0:00,-0.180369848,2809,-506.658903,778112,0.098439333
4/28/2019 3:00,-0.137046123,2485,-340.5596157,730449,0.098369667
4/28/2019 6:00,-0.1334019,2957,-394.4694183,348171,0.098922
4/28/2019 9:00,-0.204816507,3233,-662.1717671,376321,0.098366667
4/28/2019 12:00,-0.148298487,3738,-554.3397444,765408,0.097528333
4/28/2019 15:00,-0.16983131,4032,-684.7598419,699264,0.097057333
4/28/2019 18:00,-0.136259534,3726,-507.7030237,912035,0.09606
4/28/2019 21:00,-0.149982792,3337,-500.4925769,651891,0.095583333
4/29/2019 0:00,-0.122584912,2919,-357.8253581,864017,0.096104
4/29/2019 3:00,-0.193287435,2970,-574.063682,732639,0.096772
4/29/2019 6:00,-0.116617278,3486,-406.5278311,308930,0.096975333
4/29/2019 9:00,-0.091145678,4063,-370.3248897,607147,0.096376333
4/29/2019 12:00,-0.138272152,5025,-694.8175638,2015978,0.095057667
4/29/2019 15:00,-0.15489383,5344,-827.7526275,1055058,0.094690333
4/29/2019 18:00,-0.159303216,4983,-793.8079253,849824,0.094896
